사번,프로젝트명,역할,시작일,종료일,기여
GA11009,전사 워크숍 기획,기획,2013-09-04,2013-10-23,예산 10% 절감 운영
GA11009,결산 자동화 개선,운영,2021-06-06,2021-08-12,협력사 조율 주도
GA11009,복지제도 개편,총괄,2024-01-27,2024-04-18,신규 프로세스 정착
GA11009,복지제도 개편,기획,2025-08-15,2025-10-16,협력사 조율 주도
GA11013,연간 채용 프로세스 운영,운영,2012-05-11,2012-08-05,신규 프로세스 정착
GA11037,두루금융 전시 부스 운영,PM,2013-06-19,2013-07-26,제안 PT 수주 기여
GA11037,라온뷰티 브랜드 행사,운영,2016-08-28,2016-12-27,협력사 조율 주도
GA11037,두루금융 론칭 캠페인,AE,2017-04-26,2017-08-25,클라이언트 재계약 견인
GA11081,솔뫼제약 브랜드 행사,운영,2011-03-16,2011-04-20,일정 내 무사고 완수
GA11081,라온뷰티 전시 부스 운영,기획,2018-09-24,2018-10-02,예산 10% 절감 운영
GA12046,다온게임즈 전시 부스 운영,운영,2015-01-20,2015-04-12,신규 프로세스 정착
GA12046,온새미로리빙 신제품 프로모션,운영,2017-05-15,2017-08-09,예산 10% 절감 운영
GA12049,청솔식품 전시 부스 운영,기획,2015-06-28,2015-10-11,클라이언트 재계약 견인
GA12122,다온게임즈 행사 영상 중계,촬영,2012-06-02,2012-08-10,신규 프로세스 정착
GA12151,두루금융 전시 부스 운영,AE,2013-05-23,2013-09-05,일정 내 무사고 완수
GA12151,미리내패션 론칭 캠페인,기획,2014-08-09,2014-11-18,산출물 품질 개선
GA12151,온새미로리빙 팝업스토어,AE,2017-04-24,2017-08-24,산출물 품질 개선
GA13015,전사 워크숍 기획,기획,2017-07-03,2017-09-05,신규 프로세스 정착
GA13015,복지제도 개편,총괄,2019-09-11,2020-01-10,신규 프로세스 정착
GA13015,결산 자동화 개선,총괄,2020-05-17,2020-07-21,클라이언트 재계약 견인
GA13035,솔뫼제약 팝업스토어,기획,2017-03-26,2017-06-16,신규 프로세스 정착
GA13039,두루금융 브랜드 행사,PM,2014-06-09,2014-09-08,일정 내 무사고 완수
GA13039,두루금융 론칭 캠페인,PM,2015-07-22,2015-10-16,현장 운영 총괄
GA13065,라온뷰티 전시 부스 운영,PM,2013-06-21,2013-10-08,현장 운영 총괄
GA13065,한빛전자 전시 부스 운영,운영,2013-07-16,2013-11-19,산출물 품질 개선
GA13069,청솔식품 팝업스토어,기획,2020-03-05,2020-06-10,일정 내 무사고 완수
GA13069,온새미로리빙 신제품 프로모션,AE,2020-07-27,2020-08-13,클라이언트 재계약 견인
GA13072,솔뫼제약 신제품 프로모션,기획,2019-07-25,2019-09-01,산출물 품질 개선
GA13072,두루금융 팝업스토어,AE,2021-08-19,2021-12-15,제안 PT 수주 기여
GA13080,온새미로리빙 전시 부스 운영,운영,2026-02-22,2026-03-16,신규 프로세스 정착
GA13138,결산 자동화 개선,총괄,2018-04-24,2018-05-24,현장 운영 총괄
GA14019,AI 콘텐츠 파이프라인,데이터,2015-08-22,2015-10-17,예산 10% 절감 운영
GA14019,제작 아카이브 시스템,개발,2017-04-07,2017-07-25,산출물 품질 개선
GA14019,사내 업무 자동화 도구,개발,2023-08-24,2023-12-08,산출물 품질 개선
GA14031,다온게임즈 신제품 프로모션,PM,2014-03-15,2014-05-01,예산 10% 절감 운영
GA14095,한빛전자 SNS 콘텐츠 시리즈,편집,2014-02-12,2014-06-26,일정 내 무사고 완수
GA14095,바로모빌리티 행사 영상 중계,촬영,2019-02-21,2019-03-15,협력사 조율 주도
GA14105,솔뫼제약 브랜드 필름,디자인,2016-08-27,2016-10-17,신규 프로세스 정착
GA14105,솔뫼제약 광고 영상 제작,디자인,2023-06-07,2023-08-26,제안 PT 수주 기여
GA14125,온새미로리빙 캠페인 키비주얼,편집,2015-07-08,2015-11-09,제안 PT 수주 기여
GA14125,솔뫼제약 광고 영상 제작,촬영,2022-02-11,2022-03-11,일정 내 무사고 완수
GA14125,솔뫼제약 SNS 콘텐츠 시리즈,촬영,2025-09-10,2026-01-20,예산 10% 절감 운영
GA14128,다온게임즈 캠페인 키비주얼,PD,2017-02-03,2017-04-09,제안 PT 수주 기여
GA14128,청솔식품 광고 영상 제작,촬영,2021-08-28,2021-11-26,산출물 품질 개선
GA14128,라온뷰티 행사 영상 중계,촬영,2023-08-10,2023-09-17,현장 운영 총괄
GA14143,결산 자동화 개선,총괄,2014-05-02,2014-08-28,신규 프로세스 정착
GA14143,결산 자동화 개선,기획,2019-01-14,2019-05-16,현장 운영 총괄
GA14143,전사 워크숍 기획,운영,2023-02-03,2023-03-18,현장 운영 총괄
GA14143,전사 워크숍 기획,기획,2023-05-01,2023-08-05,예산 10% 절감 운영
GA15028,고객 리포트 자동화,데이터,2015-08-17,2015-12-09,신규 프로세스 정착
GA15028,고객 리포트 자동화,개발,2017-04-28,2017-07-04,산출물 품질 개선
GA15028,제작 아카이브 시스템,데이터,2024-09-24,2025-01-08,제안 PT 수주 기여
GA15083,한빛전자 팝업스토어,PM,2015-05-02,2015-09-14,산출물 품질 개선
GA15083,다온게임즈 론칭 캠페인,운영,2021-04-18,2021-07-19,예산 10% 절감 운영
GA15083,늘품커피 브랜드 행사,운영,2025-02-12,2025-05-05,협력사 조율 주도
GA15098,온새미로리빙 광고 영상 제작,촬영,2019-05-23,2019-06-01,산출물 품질 개선
GA15098,라온뷰티 행사 영상 중계,디자인,2023-09-09,2023-10-10,제안 PT 수주 기여
GA15098,라온뷰티 광고 영상 제작,디자인,2026-07-20,2026-08-22,클라이언트 재계약 견인
GA15114,한빛전자 SNS 콘텐츠 시리즈,디자인,2016-01-27,2016-05-24,일정 내 무사고 완수
GA15114,청솔식품 브랜드 필름,PD,2019-07-11,2019-10-26,일정 내 무사고 완수
GA15119,바로모빌리티 캠페인 키비주얼,촬영,2021-09-13,2021-12-12,일정 내 무사고 완수
GA15119,청솔식품 캠페인 키비주얼,PD,2024-01-13,2024-02-08,산출물 품질 개선
GA15136,연간 채용 프로세스 운영,운영,2015-03-17,2015-07-19,예산 10% 절감 운영
GA15136,복지제도 개편,총괄,2025-04-03,2025-07-03,산출물 품질 개선
GA16045,바로모빌리티 팝업스토어,PM,2025-07-21,2025-10-07,제안 PT 수주 기여
GA16047,두루금융 팝업스토어,AE,2024-08-02,2024-10-28,클라이언트 재계약 견인
GA16108,온새미로리빙 광고 영상 제작,편집,2021-07-16,2021-11-21,신규 프로세스 정착
GA16108,솔뫼제약 SNS 콘텐츠 시리즈,디자인,2026-02-21,2026-05-22,일정 내 무사고 완수
GA16112,솔뫼제약 광고 영상 제작,촬영,2019-07-17,2019-11-21,일정 내 무사고 완수
GA16137,전사 워크숍 기획,운영,2022-06-25,2022-08-13,일정 내 무사고 완수
GA16137,연간 채용 프로세스 운영,기획,2025-05-24,2025-06-02,현장 운영 총괄
GA17004,결산 자동화 개선,총괄,2021-06-11,2021-08-19,현장 운영 총괄
GA17004,연간 채용 프로세스 운영,운영,2022-01-02,2022-04-24,현장 운영 총괄
GA17010,결산 자동화 개선,운영,2021-03-01,2021-07-07,일정 내 무사고 완수
GA17021,사내 업무 자동화 도구,기획,2019-05-05,2019-06-15,일정 내 무사고 완수
GA17071,다온게임즈 브랜드 행사,기획,2022-04-15,2022-06-16,산출물 품질 개선
GA17071,다온게임즈 브랜드 행사,PM,2023-09-07,2023-11-08,산출물 품질 개선
GA17071,온새미로리빙 전시 부스 운영,AE,2024-05-01,2024-07-04,제안 PT 수주 기여
GA17104,솔뫼제약 광고 영상 제작,촬영,2017-09-21,2018-01-13,현장 운영 총괄
GA17104,청솔식품 행사 영상 중계,편집,2020-02-12,2020-06-14,산출물 품질 개선
GA17104,라온뷰티 광고 영상 제작,편집,2020-09-02,2020-11-20,클라이언트 재계약 견인
GA17117,온새미로리빙 행사 영상 중계,디자인,2020-06-19,2020-08-10,일정 내 무사고 완수
GA17117,라온뷰티 캠페인 키비주얼,촬영,2026-06-14,2026-10-10,협력사 조율 주도
GA17118,다온게임즈 브랜드 필름,디자인,2017-07-22,2017-08-07,제안 PT 수주 기여
GA17118,늘품커피 캠페인 키비주얼,편집,2024-08-11,2024-11-06,클라이언트 재계약 견인
GA17118,라온뷰티 캠페인 키비주얼,디자인,2025-08-06,2025-09-09,신규 프로세스 정착
GA17121,미리내패션 캠페인 키비주얼,PD,2020-01-13,2020-02-22,클라이언트 재계약 견인
GA17121,한빛전자 브랜드 필름,촬영,2023-09-04,2023-12-15,일정 내 무사고 완수
GA17121,다온게임즈 행사 영상 중계,PD,2025-02-21,2025-04-11,제안 PT 수주 기여
